Frequency,DB(MAG(V(OA8.nOUT))),PHDEG(V(OA8.nOUT)),
100,119.98690741610787,-6.178963085456969,
112.20184543019634,119.9835456592671,-6.932609453915331,
125.89254117941672,119.97931346306763,-7.778090246678799,
141.25375446227542,119.973985451748,-8.726559583045807,
158.48931924611134,119.96727789607644,-9.790511333787057,
177.82794100389228,119.95883360564308,-10.983933776908275,
199.52623149688796,119.94820291041273,-12.322479447242992,
223.87211385683395,119.9348197201722,-13.823650485505166,
251.188643150958,119.91797138895645,-15.506999166519718,
281.83829312644536,119.89676078463175,-17.394342288110245,
316.22776601683796,119.87005855280823,-19.50998655164763,
354.81338923357544,119.8364430528259,-21.88095968041651,
398.10717055349727,119.7941248088421,-24.537238384757107,
446.68359215096314,119.74085154274208,-27.511958737506593,
501.1872336272723,119.67378892864814,-30.84158605541828,
562.341325190349,119.58937115355513,-34.56600840582286,
630.9573444801932,119.48311428989916,-38.72849790680632,
707.9457843841379,119.34938467604309,-43.37545333002009,
794.3282347242815,119.18111466111326,-48.55579082661106,
891.2509381337455,118.96946073511356,-54.319780275730345,
1000,118.70340730897263,-60.71702745167277,
1122.0184543019634,118.36933880902903,-67.79318093904034,
1258.9254117941673,117.95064191127946,-75.58483070485536,
1412.5375446227542,117.42746819115571,-84.11206158763424,
1584.8931924611136,116.77688604374788,-93.36843863621174,
1778.2794100389228,115.97374892543787,-103.30914077633342,
1995.2623149688795,114.9926131395782,-113.83972420040004,
2238.7211385683395,113.81080543686878,-124.8101460299419,
2511.8864315095802,112.41218525010687,-136.01959604033118,
2818.382931264454,110.79047447313401,-147.2351767334993,
3162.2776601683795,108.95078811088123,-158.2212722321042,
3548.133892335755,106.90862530320844,-168.77028444159768,
3981.0717055349724,104.68676690320511,-178.72446061721132,
4466.835921509632,102.3113838015034,-187.9837056491631,
5011.872336272723,99.80864291230885,-196.50109486141704,
5623.413251903491,97.20246931878872,-204.2715595887728,
6309.573444801932,94.5134774037409,-211.31905181284145,
7079.457843841379,91.75874876451205,-217.68538739455892,
7943.282347242815,88.95208889499746,-223.42190664374098,
8912.509381337455,86.10448629091249,-228.5838607629864,
10000,83.22460999256487,-233.22695598373357,
11220.184543019634,80.31926614709506,-237.40543929986117,
12589.254117941671,77.39378486470389,-241.1712313291952,
14125.375446227543,74.45233441986232,-244.57376584321264,
15848.931924611135,71.4981709012159,-247.6603298871196,
17782.794100389227,68.53383505124006,-250.4768034961241,
19952.623149688796,65.56130868752334,-253.06878028863702,
22387.211385683397,62.58214338054119,-255.48312033744628,
25118.8643150958,59.597575884772084,-257.7700552012415,
28183.82931264454,56.608650390307545,-259.9860409331965,
31622.776601683792,53.61638069077657,-262.19764447913207,
35481.33892335754,50.62201290437718,-264.4868501309262,
39810.71705534973,47.62750493402507,-266.9582578970165,
44668.35921509631,44.63644699297772,-269.74860997931114,
50118.72336272723,41.65584743477378,-273.0386028455341,
56234.13251903491,38.69953889013294,-277.06513475403443,
63095.73444801933,35.79435667950768,-282.12687107271745,
70794.5784384138,32.99012972758083,-288.563452561291,
79432.82347242815,30.371811794610306,-296.6676675489608,
89125.09381337455,28.06288857361944,-306.48551247634043,
100000,26.19672465578869,-317.55841987854274,